Timestamp,City,Description,Temperature,WindSpeed
2025-07-11 07:10:53Z,Freiberg,broken clouds,16.78,4.02
2025-07-11 07:11:55Z,Freiberg,broken clouds,16.78,4.02
2025-07-11 07:18:40Z,Freiberg,broken clouds,17.74,4.02
